date,predicted_temperature
2024-01-08,28.17142857142857
2024-01-09,28.55357142857143
2024-01-10,28.935714285714287
2024-01-11,29.317857142857143
2024-01-12,29.700000000000003
2024-01-13,30.08214285714286
2024-01-14,30.464285714285715
2024-01-15,30.846428571428575
2024-01-16,31.22857142857143
2024-01-17,31.610714285714288
2024-01-18,31.992857142857144
2024-01-19,32.375
2024-01-20,32.75714285714286
2024-01-21,33.13928571428572
2024-01-22,33.52142857142857
2024-01-23,33.90357142857143
2024-01-24,34.28571428571429
2024-01-25,34.667857142857144
2024-01-26,35.050000000000004
2024-01-27,35.432142857142864
2024-01-28,35.81428571428572
2024-01-29,36.19642857142858
2024-01-30,36.578571428571436
2024-01-31,36.96071428571429
2024-02-01,37.34285714285715
2024-02-02,37.72500000000001
2024-02-03,38.10714285714286
2024-02-04,38.48928571428572
2024-02-05,38.87142857142858
2024-02-06,39.25357142857143
